Created_At,Entities,Id,Language,Place,Source,Text,Username
Fri Oct 04 17:09:08 +0000 2019,"{'hashtags': [], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1180167985828421633', 'indices': [117, 140], 'url': 'https://t.co/yZOCYvKMt3'}], 'user_mentions': [{'id': 358814014, 'id_str': '358814014', 'indices': [35, 48], 'name': 'Ashwin Ravichandran', 'screen_name': 'ashwinravi99'}]}",1180167985828421633,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Congratulations off spin sensation @ashwinravi99 for demolishing South Africa and creating a slew of new records. -… https://t.co/yZOCYvKMt3,Sadhguru
Fri Oct 04 16:34:12 +0000 2019,"{'hashtags': [{'indices': [0, 9], 'text': 'Navratri'}], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1180159194256818177', 'indices': [117, 140], 'url': 'https://t.co/VXDp7vK1jb'}], 'user_mentions': []}",1180159194256818177,en,,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","#Navratri is dedicated to the feminine nature of the Divine. Durga, Lakshmi and Saraswati are seen as three dimensi… https://t.co/VXDp7vK1jb",Sadhguru
Fri Oct 04 16:23:39 +0000 2019,"{'hashtags': [], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1180156535843868673', 'indices': [121, 144], 'url': 'https://t.co/83QRjvWOhu'}], 'user_mentions': []}",1180156535843868673,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Banning onion exports &amp; imposition of stock limits when farmers can benefit immensely from surge in demand, is regr… https://t.co/83QRjvWOhu",Sadhguru
Fri Oct 04 13:54:38 +0000 2019,"{'hashtags': [{'indices': [78, 92], 'text': 'WorldSmileDay'}, {'indices': [93, 111], 'text': 'WorldSmileDay2019'}], 'media': [{'display_url': 'pic.twitter.com/eRwoss2r9g', 'expanded_url': 'https://twitter.com/SadhguruJV/status/1180119035725246466/photo/1', 'id': 1180119025159823360, 'id_str': '1180119025159823360', 'indices': [112, 135], 'media_url': 'http://pbs.twimg.com/media/EGCgADdU4AAc-En.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EGCgADdU4AAc-En.jpg', 'sizes': {'large': {'h': 720, 'resize': 'fit', 'w': 1280}, 'medium': {'h': 675, 'resize': 'fit', 'w': 1200}, 'small': {'h': 383, 'resize': 'fit', 'w': 680}, 'thumb': {'h': 150, 'resize': 'crop', 'w': 150}}, 'type': 'photo', 'url': 'https://t.co/eRwoss2r9g'}], 'symbols': [], 'urls': [], 'user_mentions': []}",1180119035725246466,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",I would know you are happy if your bones did Smile and I hear the rattle. -Sg #WorldSmileDay #WorldSmileDay2019 https://t.co/eRwoss2r9g,Sadhguru
Fri Oct 04 13:29:21 +0000 2019,"{'hashtags': [], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1180112672601202688', 'indices': [125, 148], 'url': 'https://t.co/NE7g4xXfbR'}], 'user_mentions': []}",1180112672601202688,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",..which will increase farmers' income significantly &amp; revitalize soil &amp; water in Cauvery basin. Read this myth bust… https://t.co/NE7g4xXfbR,Sadhguru
Fri Oct 04 13:29:20 +0000 2019,"{'hashtags': [{'indices': [0, 15], 'text': 'CauveryCalling'}], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1180112670726377472', 'indices': [121, 144], 'url': 'https://t.co/oFmYqBC6BH'}], 'user_mentions': []}",1180112670726377472,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",#CauveryCalling is not a tree planting program. It's an economic program for the farmers &amp; an ecological plan for t… https://t.co/oFmYqBC6BH,Sadhguru
Fri Oct 04 12:50:33 +0000 2019,"{'hashtags': [], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1180102907506479104', 'indices': [121, 144], 'url': 'https://t.co/TVlMcYIFvS'}], 'user_mentions': []}",1180102907506479104,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","While population of tigers &amp; elephants is rising, loss of biodiversity due to declining population of insects, micr… https://t.co/TVlMcYIFvS",Sadhguru
Fri Oct 04 09:58:02 +0000 2019,"{'hashtags': [], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1180059493599563777', 'indices': [117, 140], 'url': 'https://t.co/tTjPqD8Hii'}], 'user_mentions': [{'id': 5120691, 'id_str': '5120691', 'indices': [9, 13], 'name': 'World Economic Forum', 'screen_name': 'wef'}, {'id': 17471979, 'id_str': '17471979', 'indices': [19, 26], 'name': 'National Geographic', 'screen_name': 'NatGeo'}, {'id': 2615251201, 'id_str': '2615251201', 'indices': [27, 34], 'name': 'MoEF&CC', 'screen_name': 'moefcc'}]}",1180059493599563777,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dialogue @wef with @NatGeo @Moefcc on biodiversity. Very short window to restore lands, secure biodiversity. Action… https://t.co/tTjPqD8Hii",Sadhguru
Fri Oct 04 08:25:48 +0000 2019,"{'hashtags': [], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1180036284196298752', 'indices': [121, 144], 'url': 'https://t.co/XgqeuLOygg'}], 'user_mentions': []}",1180036284196298752,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Improving soil moisture &amp; fertility is paramount to reverse the loss of biodiversity. The only way to do this is by… https://t.co/XgqeuLOygg,Sadhguru
Fri Oct 04 07:47:05 +0000 2019,"{'hashtags': [{'indices': [55, 70], 'text': 'CauveryCalling'}], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1180026541511790592', 'indices': [117, 140], 'url': 'https://t.co/m8qhJG9X4o'}], 'user_mentions': [{'id': 98932084, 'id_str': '98932084', 'indices': [5, 20], 'name': 'salim merchant', 'screen_name': 'salim_merchant'}]}",1180026541511790592,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dear @salim_merchant, your contribution and support to #CauveryCalling will go a long way in ensuring well-being of… https://t.co/m8qhJG9X4o",Sadhguru
